,s,a,r,s1
255,[-0.49292353 -0.01038895],[-0.3511514],-0.012330731047302736,[-0.504069   -0.01114542]
256,[-0.504069   -0.01114542],[0.71484125],-0.05109980078476753,[-0.51428854 -0.01021955]
257,[-0.51428854 -0.01021955],[-0.71997285],-0.05183609031419678,[-0.5256579  -0.01136932]
258,[-0.5256579  -0.01136932],[0.9564226],-0.09147442413844012,[-0.5355771  -0.00991925]
259,[-0.5355771  -0.00991925],[-0.9735513],-0.09478020818335153,[-0.5468669  -0.01128975]
260,[-0.5468669  -0.01128975],[-0.03141387],-9.868313411488667e-05,[-0.45919815 -0.00053103]
261,[-0.45919815 -0.00053103],[0.9934057],-0.0986854884255891,[-0.45871907  0.00047907]
262,[-0.45871907  0.00047907],[0.03147316],-9.90559552676032e-05,[-4.5867634e-01  4.2747295e-05]
263,[-4.5867634e-01  4.2747295e-05],[-0.4593729],-0.02110234684913417,[-0.4598065  -0.00113016]
264,[-0.4598065  -0.00113016],[0.8538701],-0.07290941371244096,[-4.6013138e-01 -3.2487948e-04]
265,[-4.6013138e-01 -3.2487948e-04],[-0.70826524],-0.05016396572193607,[-0.4619918  -0.00186041]
266,[-0.4619918  -0.00186041],[-0.41601416],-0.017306778521955925,[-0.46493566 -0.00294386]
267,[-0.46493566 -0.00294386],[0.4700081],-0.022090761880291243,[-0.4676122  -0.00267655]
268,[-0.4676122  -0.00267655],[-0.8605002],-0.07404606225691311,[-0.47199744 -0.00438523]
269,[-0.47199744 -0.00438523],[0.73812234],-0.054482459473719304,[-0.47566095 -0.00366351]
270,[-0.47566095 -0.00366351],[-0.6292555],-0.0395962451072851,[-0.48062664 -0.00496569]
271,[-0.48062664 -0.00496569],[0.35359412],-0.01250288047516257,[-0.48538333 -0.0047567 ]
272,[-0.48538333 -0.0047567 ],[0.3010644],-0.009063977407033352,[-0.48997444 -0.00459109]
273,[-0.48997444 -0.00459109],[-0.6996633],-0.0489528707396417,[-0.49586678 -0.00589234]
